O–O Distance (Å),Energy (Eh)
2.724,-152.86159381
2.725,-152.86160520
2.731,-152.86167162
2.732,-152.86168238
2.733,-152.86169305
2.734,-152.86170363
2.735,-152.86171413
2.736,-152.86172453
2.737,-152.86173485
2.738,-152.86174508
2.740,-152.86176529
2.741,-152.86177526
2.742,-152.86178515
2.743,-152.86179496
2.744,-152.86180468
2.745,-152.86181431
2.747,-152.86183333
2.748,-152.86184271
2.749,-152.86185202
2.750,-152.86186123
2.751,-152.86187037
2.752,-152.86187943
2.754,-152.86189730
2.756,-152.86191484
2.758,-152.86193206
2.759,-152.86194055
2.760,-152.86194897
2.762,-152.86196556
2.763,-152.86197374
2.765,-152.86198986
2.766,-152.86199780
2.767,-152.86200567
2.768,-152.86201347
2.769,-152.86202118
2.770,-152.86202882
2.771,-152.86203639
2.773,-152.86205129
2.775,-152.86206589
2.776,-152.86207309
2.777,-152.86208020
2.778,-152.86208725
2.779,-152.86209422
2.780,-152.86210112
2.781,-152.86210794
2.784,-152.86212799
2.785,-152.86213453
2.786,-152.86214099
2.789,-152.86215997
2.790,-152.86216616
2.791,-152.86217228
2.792,-152.86217833
2.794,-152.86219021
2.795,-152.86219606
2.797,-152.86220754
2.798,-152.86221317
2.800,-152.86222425
2.801,-152.86222968
2.803,-152.86224036
2.805,-152.86225077
2.807,-152.86226092
2.808,-152.86226590
2.810,-152.86227566
2.811,-152.86228045
2.812,-152.86228517
2.814,-152.86229442
2.816,-152.86230342
2.817,-152.86230783
2.818,-152.86231217
2.819,-152.86231645
2.820,-152.86232067
2.822,-152.86232893
2.823,-152.86233297
2.825,-152.86234086
2.826,-152.86234472
2.827,-152.86234851
2.828,-152.86235225
2.829,-152.86235593
2.830,-152.86235955
2.832,-152.86236661
2.834,-152.86237344
2.835,-152.86237676
2.836,-152.86238003
2.837,-152.86238324
2.839,-152.86238950
2.840,-152.86239254
2.841,-152.86239552
2.842,-152.86239845
2.843,-152.86240132
2.844,-152.86240414
2.845,-152.86240690
2.849,-152.86241740
2.850,-152.86241989
2.855,-152.86243153
2.857,-152.86243581
2.858,-152.86243787
2.859,-152.86243989
2.860,-152.86244185
2.861,-152.86244375
2.862,-152.86244561
2.865,-152.86245087
2.866,-152.86245252
2.869,-152.86245718
2.871,-152.86246004
2.873,-152.86246270
2.874,-152.86246395
2.875,-152.86246516
2.876,-152.86246632
2.877,-152.86246743
2.878,-152.86246850
2.879,-152.86246951
2.880,-152.86247048
2.881,-152.86247140
2.886,-152.86247531
2.887,-152.86247595
2.889,-152.86247710
2.893,-152.86247886
2.894,-152.86247919
2.896,-152.86247971
2.897,-152.86247990
2.899,-152.86248016
2.900,-152.86248023
2.901,-152.86248025
2.904,-152.86248006
2.906,-152.86247972
2.909,-152.86247890
2.913,-152.86247723
2.914,-152.86247672
2.915,-152.86247616
2.916,-152.86247556
2.917,-152.86247492
2.918,-152.86247424
2.920,-152.86247277
2.921,-152.86247197
2.923,-152.86247026
2.924,-152.86246935
2.926,-152.86246741
2.929,-152.86246422
2.930,-152.86246308
2.931,-152.86246191
2.932,-152.86246069
2.935,-152.86245684
2.936,-152.86245548
2.938,-152.86245265
2.941,-152.86244815
2.942,-152.86244657
2.943,-152.86244497
2.944,-152.86244332
2.947,-152.86243819
2.948,-152.86243641
2.949,-152.86243460
2.950,-152.86243275
2.951,-152.86243087
2.952,-152.86242895
2.953,-152.86242701
2.955,-152.86242301
2.956,-152.86242097
2.957,-152.86241889
2.958,-152.86241678
2.959,-152.86241463
2.961,-152.86241025
2.962,-152.86240801
2.963,-152.86240574
2.964,-152.86240344
2.965,-152.86240111
2.967,-152.86239635
2.968,-152.86239392
2.970,-152.86238898
2.971,-152.86238646
2.973,-152.86238133
2.975,-152.86237609
2.979,-152.86236525
2.980,-152.86236246
2.982,-152.86235681
2.983,-152.86235394
2.986,-152.86234517
2.987,-152.86234219
2.989,-152.86233614
2.990,-152.86233308
2.993,-152.86232372
2.997,-152.86231087
2.998,-152.86230759
3.000,-152.86230096
3.001,-152.86229760
3.002,-152.86229422
3.003,-152.86229081
3.004,-152.86228738
3.005,-152.86228392
3.006,-152.86228044
3.008,-152.86227339
3.010,-152.86226625
3.011,-152.86226264
3.013,-152.86225535
3.014,-152.86225167
3.023,-152.86221748
3.026,-152.86220566
3.027,-152.86220167
3.028,-152.86219767
3.029,-152.86219364
3.032,-152.86218142
3.033,-152.86217730
3.034,-152.86217316
3.035,-152.86216900
3.036,-152.86216482
3.037,-152.86216062
3.038,-152.86215639
3.039,-152.86215214
3.041,-152.86214359
3.042,-152.86213928
3.043,-152.86213495
3.045,-152.86212623
3.046,-152.86212184
3.047,-152.86211743
3.049,-152.86210854
3.050,-152.86210407
3.051,-152.86209958
3.052,-152.86209506
3.053,-152.86209053
3.056,-152.86207682
3.059,-152.86206294
3.063,-152.86204416
3.065,-152.86203466
3.067,-152.86202509
3.071,-152.86200572
3.073,-152.86199593
3.075,-152.86198608
3.079,-152.86196615
3.080,-152.86196113
3.081,-152.86195609
3.084,-152.86194087
3.085,-152.86193576
3.087,-152.86192550
3.088,-152.86192034
3.089,-152.86191517
3.090,-152.86190998
3.092,-152.86189956
3.094,-152.86188908
3.096,-152.86187853
3.097,-152.86187323
3.098,-152.86186792
3.099,-152.86186260
3.100,-152.86185726
3.102,-152.86184653
3.104,-152.86183574
3.108,-152.86181399
3.109,-152.86180852
3.111,-152.86179753
3.112,-152.86179202
3.115,-152.86177539
3.116,-152.86176982
3.117,-152.86176424
3.119,-152.86175304
3.120,-152.86174741
3.121,-152.86174178
3.122,-152.86173613
3.123,-152.86173047
3.125,-152.86171911
3.126,-152.86171341
3.128,-152.86170197
3.129,-152.86169623
3.130,-152.86169048
3.131,-152.86168472
3.133,-152.86167316
3.134,-152.86166736
3.138,-152.86164405
3.139,-152.86163820
3.141,-152.86162645
3.143,-152.86161466
3.146,-152.86159688
3.148,-152.86158498
3.150,-152.86157304
3.151,-152.86156705
3.153,-152.86155504
3.154,-152.86154902
3.158,-152.86152484
3.159,-152.86151877
3.161,-152.86150660
3.162,-152.86150050
3.163,-152.86149440
3.164,-152.86148828
3.166,-152.86147602
3.167,-152.86146987
3.168,-152.86146371
3.169,-152.86145755
3.174,-152.86142660
3.175,-152.86142038
3.182,-152.86137663
3.184,-152.86136405
3.186,-152.86135145
3.189,-152.86133248
3.190,-152.86132615
3.193,-152.86130709
3.196,-152.86128797
3.197,-152.86128158
3.198,-152.86127519
3.199,-152.86126879
3.200,-152.86126238
3.201,-152.86125597
3.202,-152.86124955
3.203,-152.86124312
3.205,-152.86123025
3.208,-152.86121089
3.209,-152.86120442
3.210,-152.86119795
3.211,-152.86119147
3.212,-152.86118499
3.213,-152.86117850
3.215,-152.86116551
3.220,-152.86113292
3.221,-152.86112639
3.222,-152.86111985
3.223,-152.86111331
3.224,-152.86110676
3.225,-152.86110021
3.226,-152.86109365
3.227,-152.86108708
3.228,-152.86108052
3.229,-152.86107394
3.232,-152.86105420
3.235,-152.86103441
3.236,-152.86102780
3.239,-152.86100796
3.240,-152.86100134
3.241,-152.86099471
3.243,-152.86098145
3.244,-152.86097481
3.245,-152.86096817
3.248,-152.86094823
3.249,-152.86094157
3.250,-152.86093491
3.252,-152.86092158
3.253,-152.86091491
3.254,-152.86090824
3.256,-152.86089488
3.257,-152.86088820
3.258,-152.86088152
3.259,-152.86087483
3.261,-152.86086144
3.265,-152.86083464
3.267,-152.86082122
3.268,-152.86081451
3.270,-152.86080107
3.271,-152.86079435
3.273,-152.86078090
3.274,-152.86077418
3.275,-152.86076745
3.277,-152.86075398
3.278,-152.86074725
3.280,-152.86073377
3.282,-152.86072028
3.283,-152.86071354
3.285,-152.86070004
3.286,-152.86069329
3.287,-152.86068654
3.291,-152.86065952
3.292,-152.86065276
3.293,-152.86064600
3.295,-152.86063247
3.297,-152.86061894
3.298,-152.86061218
3.299,-152.86060541
3.300,-152.86059864
3.303,-152.86057833
3.304,-152.86057155
3.305,-152.86056478
3.307,-152.86055123
3.308,-152.86054446
3.311,-152.86052412
3.313,-152.86051057
3.314,-152.86050379
3.317,-152.86048345
3.320,-152.86046310
3.322,-152.86044954
3.323,-152.86044276
3.326,-152.86042241
3.330,-152.86039528
3.332,-152.86038172
3.333,-152.86037494
3.334,-152.86036816
3.335,-152.86036138
3.336,-152.86035460
3.337,-152.86034781
3.338,-152.86034103
3.341,-152.86032070
3.342,-152.86031392
3.343,-152.86030714
3.344,-152.86030036
3.347,-152.86028004
3.349,-152.86026649
3.351,-152.86025294
3.353,-152.86023940
3.358,-152.86020556
3.359,-152.86019880
3.361,-152.86018527
3.362,-152.86017851
3.363,-152.86017175
3.364,-152.86016499
3.367,-152.86014472
3.368,-152.86013797
3.369,-152.86013121
3.370,-152.86012446
3.371,-152.86011771
3.373,-152.86010422
3.375,-152.86009073
3.376,-152.86008398
3.378,-152.86007050
3.379,-152.86006376
3.381,-152.86005029
3.382,-152.86004356
3.383,-152.86003683
3.384,-152.86003010
3.385,-152.86002337
3.387,-152.86000992
3.388,-152.86000319
3.389,-152.85999647
3.390,-152.85998975
3.392,-152.85997632
3.393,-152.85996960
3.394,-152.85996289
3.395,-152.85995618
3.396,-152.85994947
3.399,-152.85992936
3.400,-152.85992266
3.401,-152.85991597
3.402,-152.85990927
3.403,-152.85990258
3.404,-152.85989589
3.405,-152.85988920
3.406,-152.85988251
3.407,-152.85987583
3.410,-152.85985579
3.411,-152.85984911
3.412,-152.85984244
3.413,-152.85983577
3.414,-152.85982910
3.416,-152.85981577
3.418,-152.85980245
3.420,-152.85978914
3.422,-152.85977584
3.423,-152.85976919
3.424,-152.85976255
3.425,-152.85975591
3.427,-152.85974263
3.428,-152.85973600
3.429,-152.85972937
3.430,-152.85972274
3.431,-152.85971612
3.433,-152.85970288
3.435,-152.85968965
3.436,-152.85968304
3.437,-152.85967643
3.438,-152.85966982
3.440,-152.85965662
3.442,-152.85964343
3.443,-152.85963684
3.444,-152.85963025
3.447,-152.85961051
3.448,-152.85960393
3.449,-152.85959736
3.452,-152.85957766
3.453,-152.85957110
3.454,-152.85956454
3.457,-152.85954489
3.458,-152.85953835
3.459,-152.85953181
3.461,-152.85951874
3.463,-152.85950568
3.465,-152.85949263
3.467,-152.85947960
3.469,-152.85946658
3.470,-152.85946008
3.471,-152.85945357
3.473,-152.85944058
3.477,-152.85941464
3.478,-152.85940817
3.479,-152.85940169
3.480,-152.85939523
3.482,-152.85938230
3.483,-152.85937584
3.484,-152.85936938
3.485,-152.85936293
3.486,-152.85935649
3.487,-152.85935004
3.488,-152.85934360
3.489,-152.85933717
3.490,-152.85933073
3.492,-152.85931788
3.494,-152.85930504
3.495,-152.85929863
3.496,-152.85929222
3.497,-152.85928581
3.499,-152.85927301
3.501,-152.85926023
3.502,-152.85925384
3.503,-152.85924746
3.505,-152.85923470
3.506,-152.85922833
3.507,-152.85922196
3.508,-152.85921560
3.509,-152.85920924
3.511,-152.85919654
